"","t.x","t.y","t.Freq","prop.row.x","prop.row.y","prop.row.Freq","prop.col.x","prop.col.y","prop.col.Freq","prop.tbl.x","prop.tbl.y","prop.tbl.Freq"
"1","Basking shark","130",0,"Basking shark","130",0,"Basking shark","130",0,"Basking shark","130",0
"2","Blue shark","130",0,"Blue shark","130",0,"Blue shark","130",0,"Blue shark","130",0
"3","Bull shark","130",1,"Bull shark","130",1,"Bull shark","130",1,"Bull shark","130",0.0833333333333333
"4","Common thresher shark","130",0,"Common thresher shark","130",0,"Common thresher shark","130",0,"Common thresher shark","130",0
"5","Goblin shark","130",0,"Goblin shark","130",0,"Goblin shark","130",0,"Goblin shark","130",0
"6","Great hammerhead shark","130",0,"Great hammerhead shark","130",0,"Great hammerhead shark","130",0,"Great hammerhead shark","130",0
"7","Great white shark","130",0,"Great white shark","130",0,"Great white shark","130",0,"Great white shark","130",0
"8","Megamouth shark","130",0,"Megamouth shark","130",0,"Megamouth shark","130",0,"Megamouth shark","130",0
"9","Nurse shark","130",0,"Nurse shark","130",0,"Nurse shark","130",0,"Nurse shark","130",0
"10","Shortfin mako shark","130",0,"Shortfin mako shark","130",0,"Shortfin mako shark","130",0,"Shortfin mako shark","130",0
"11","Tiger shark","130",0,"Tiger shark","130",0,"Tiger shark","130",0,"Tiger shark","130",0
"12","Whale shark","130",0,"Whale shark","130",0,"Whale shark","130",0,"Whale shark","130",0
"13","Basking shark","200",0,"Basking shark","200",0,"Basking shark","200",0,"Basking shark","200",0
"14","Blue shark","200",1,"Blue shark","200",1,"Blue shark","200",1,"Blue shark","200",0.0833333333333333
"15","Bull shark","200",0,"Bull shark","200",0,"Bull shark","200",0,"Bull shark","200",0
"16","Common thresher shark","200",0,"Common thresher shark","200",0,"Common thresher shark","200",0,"Common thresher shark","200",0
"17","Goblin shark","200",0,"Goblin shark","200",0,"Goblin shark","200",0,"Goblin shark","200",0
"18","Great hammerhead shark","200",0,"Great hammerhead shark","200",0,"Great hammerhead shark","200",0,"Great hammerhead shark","200",0
"19","Great white shark","200",0,"Great white shark","200",0,"Great white shark","200",0,"Great white shark","200",0
"20","Megamouth shark","200",0,"Megamouth shark","200",0,"Megamouth shark","200",0,"Megamouth shark","200",0
"21","Nurse shark","200",0,"Nurse shark","200",0,"Nurse shark","200",0,"Nurse shark","200",0
"22","Shortfin mako shark","200",0,"Shortfin mako shark","200",0,"Shortfin mako shark","200",0,"Shortfin mako shark","200",0
"23","Tiger shark","200",0,"Tiger shark","200",0,"Tiger shark","200",0,"Tiger shark","200",0
"24","Whale shark","200",0,"Whale shark","200",0,"Whale shark","200",0,"Whale shark","200",0
"25","Basking shark","210",0,"Basking shark","210",0,"Basking shark","210",0,"Basking shark","210",0
"26","Blue shark","210",0,"Blue shark","210",0,"Blue shark","210",0,"Blue shark","210",0
"27","Bull shark","210",0,"Bull shark","210",0,"Bull shark","210",0,"Bull shark","210",0
"28","Common thresher shark","210",0,"Common thresher shark","210",0,"Common thresher shark","210",0,"Common thresher shark","210",0
"29","Goblin shark","210",1,"Goblin shark","210",1,"Goblin shark","210",1,"Goblin shark","210",0.0833333333333333
"30","Great hammerhead shark","210",0,"Great hammerhead shark","210",0,"Great hammerhead shark","210",0,"Great hammerhead shark","210",0
"31","Great white shark","210",0,"Great white shark","210",0,"Great white shark","210",0,"Great white shark","210",0
"32","Megamouth shark","210",0,"Megamouth shark","210",0,"Megamouth shark","210",0,"Megamouth shark","210",0
"33","Nurse shark","210",0,"Nurse shark","210",0,"Nurse shark","210",0,"Nurse shark","210",0
"34","Shortfin mako shark","210",0,"Shortfin mako shark","210",0,"Shortfin mako shark","210",0,"Shortfin mako shark","210",0
"35","Tiger shark","210",0,"Tiger shark","210",0,"Tiger shark","210",0,"Tiger shark","210",0
"36","Whale shark","210",0,"Whale shark","210",0,"Whale shark","210",0,"Whale shark","210",0
"37","Basking shark","230",0,"Basking shark","230",0,"Basking shark","230",0,"Basking shark","230",0
"38","Blue shark","230",0,"Blue shark","230",0,"Blue shark","230",0,"Blue shark","230",0
"39","Bull shark","230",0,"Bull shark","230",0,"Bull shark","230",0,"Bull shark","230",0
"40","Common thresher shark","230",0,"Common thresher shark","230",0,"Common thresher shark","230",0,"Common thresher shark","230",0
